Clave UT,Nombre Completo del COPACO
10-038,Orlando Martínez Castro
10-039,Alejandro Calzada Mancera
10-039,Clara María Flores Escobedo
10-039,Jose Juan Estrada Gonzalez
10-039,Mariana Mishelle Fernandez Soto
10-039,Maribel Romero Lopez
10-039,Silvia Monserrat Moctezuma Arreola
10-044,Aníbal Quintana Rosas
10-044,Beatriz Eugenia Olivera Olmos
10-044,Daniel Zavala Pérez
10-044,Guillermo Eduardo Aguirre Angeles
10-044,Ignacio Gerardo Rangel Díaz
10-044,Lydia Barraza Velasco
10-044,Mauricio Lozano Massés
10-044,Mercedes Camacho Velazquez
10-046,Alicia Michel Cruz
10-046,Erick Roberto Gonzalez Suarez
10-046,Jorge Mendez Garcia
10-046,José Manuel González Trejo
10-047,Araceli Gonzales Ferrer
10-047,Diego Antonio Carmona Alvarado
10-047,Elizabeth Martínez Roa
10-047,Fernando Reséndiz Sarabia
10-047,Jesús David Méndez Guzmán
10-047,Lucina Arteaga Uribe
10-047,Nancy Jane Caloca Ruiz
10-047,Pablo Huerta Cervantes
10-047,Patricia Tellez Jaimes
10-048,María Dolores Aguilar Gonzalez
10-048,Michel Medina Palacios
10-048,Sotero Guadalupe Loyola Hernández
10-052,Ana Cruz Vazquez
10-052,Carlos Emmanuel Gonzalez Torres
10-052,Cecilia Juárez Guzmán
10-052,Ciro Domingo Lopez Alvarez
10-052,Irving Alexander Juárez Guzmán
10-052,Jesus Enrique Loeza Hernandez
10-052,Maria Alejandra Cruz Celaya
10-052,Raquel Barbara Avila Ibarra
10-052,Wendy Sandy Valdes Hernandez
10-053,Ana Camila Cruz Perez
10-053,Angel Andres Herrera Avilez
10-053,Elizabeth Ortega Rodríguez
10-053,Jessica Morales Flores
10-053,Lilia Esmeralda Estrada Rangel
10-053,María Del Socorro Cruz Guillermo
10-053,Maria Francisca Ortega Juarez
10-053,María Isabel Rodriguez Tinajero
10-053,Martha García Vicente
10-054,Laura Olivia Gonzalez Rodriguez
10-054,Maria Guadalupe Aldave Portillo
10-054,Rocio Marisol Salazar Moyao
10-054,Silvia Gonzalez Rodriguez
10-061,Deisy Gabriela Dominguez Diaz
10-061,Josue Nathan Ramirez Lopez
10-063,Estela Cruz Venegas
10-063,Irma Garcia Garcia
10-063,Luis Carlos Arroyo Paredes
10-063,Maria Elena Bortolussi Ayala
10-063,Maria Fernanda Beltran Gonzalez
10-063,Olivia Briano Rivera
10-064,Ana María Soto Carmona
10-064,Dennys Rodríguez Ramírez
10-064,Evelyn Alamilla Garcia
10-064,Gloria González X
10-064,Gloria Blanca Meneses Guevara
10-064,Norbella Guillen Samora
10-064,Sergio Brandon Rodríguez Ramírez
10-065,Andrés Armando Olvera Morales
10-065,Armando Sandoval Garcia
10-065,Arturo Vazquez Zarza
10-065,Raul Meneses Alcantara
10-066,Alejandra Arredondo Nava
10-066,César Ivan Vega Valdespino
10-066,Juliana López González
10-066,María Del Carmen Curiel Soto
10-066,Susana Guadalupe Alarcón Franco
10-067,Araceli Mendoza Trejo
10-067,Araceli Mendoza Trejo
10-067,Araceli Mendoza Trejo
10-069,Fernando Sandoval Sánchez
10-069,Fernando Sandoval Sánchez
10-069,Fernando Sandoval Sánchez
10-075,María Anali Delgado Ledesma
10-075,Ofelia Vázquez Medorio
10-075,Yolanda Georgina Mendoza Avila
10-076,Ana Laura González Segura
10-076,Daniel Arturo Perea Ríos
10-076,Ingrid Arlette Zamora Araujo
10-076,Maria Fernanda Maldonado Garcia
10-076,Ricardo Ramirez Sanchez
10-077,Alejandra Elizabeth Vargas Salas
10-077,Celia Granados Bernabé
10-077,Maria Cecilia Rios Angeles
10-077,María Guadalupe Catarino Ángeles
10-077,María Natividad García Ruíz
10-077,María Teresa Pérez Cid
10-077,Martina Rizo Villanueva
10-077,Rosa Isela Pérez Ruíz
10-077,Rosa María Hernández Gómez
10-078,Mercedes Martínez Flores
10-078,Mercedes Martínez Flores
10-079,Alpha Avila Weingartshofer
10-079,Ana Rosario Pérez Domínguez
10-079,Edith González Escobar
10-079,Fabiola Rivera Domínguez
10-079,Jacqueline Veronica Rivera Santamaria
10-079,Luis Antonio Carbajal Vázquez
10-079,María Del Carmen Hernández Guzmán
10-079,Maria Del Rocio Ortega Domínguez
10-079,Oliver De Jesús Santiago Vázquez
10-080,Armando Lopez Gonzalez
10-080,Jesús Daniel Martínez Olvera
10-080,Katya Amairani Camacho Lopez
10-080,Luis Alfonso Miranda Ortiz
10-080,Luis Humberto Palmer Martínez
10-080,Maribel Velazquez Quintero
10-080,Mireya Ramón Garcia
10-080,Xochitl Michel Padilla Mateo
10-081,Alma Cecilia Gutiérrez Tovar
10-081,Belem Cruz Medina
10-081,Cirilo Martín Campos De Jesús
10-081,Daniel Guerrero Vargas
10-081,Francisco Javier García Cruz
10-081,Isidro Diaz Cruz
10-081,Laura Angélica Casildo Flores
10-081,Leticia Stephanie Valdez Malagon
10-081,Roberto Joel Mendez Alvarez
10-082,Elia Del Carmen Hernandez Rosas
10-082,Elizabeth Aretha Chavez Nuño
10-082,Evaristo Miguel Garcia Angeles
10-083,Josepb Michael Flores González
10-083,Juan Antonio González Morales
10-083,Leovigildo Flores Espindola
10-088,Daniel Ramirez Zamora
10-088,Guadalupe Tellez Mauricio
10-088,Hortencia Gutierrez Gomez
10-088,José Luis Barrera X
10-088,Juan José Colores López
10-088,Leticia Toledano Atilano
10-088,Lorena Escobar Hurtado
10-088,Ma Del Carmen De Jesus Cabello
10-088,Salvador Rafael Huaroco
10-089,Adelaido Cruz Dávila
10-089,Alma Casas Rosales
10-089,Gabriela Guzman Fernandez
10-089,Imelda Hernández López
10-089,Laura Romero Mendoza
10-089,Luis Alberto Perez Vargas
10-089,Maribel Sanchez Mayen
10-089,Nestor Adrian Hernandez Orozco
10-089,Verónica Velázquez Martínez
10-090,Jesús Alejandro Diaz Calderón
10-090,Maria Del Rosario Cabello Aranda
10-090,Merybeht Margarita Perez Infante
10-090,Verónica Córdova García
10-095,Diego Elias Ruffiar Trejo
10-095,Guadalupe Ortega García
10-095,María Del Pilar Morales Rivera
10-096,Brenda Karina Anicua Angeles
10-096,José Guadalupe De Santiago Zuñiga
10-096,José Rafael García Chavez
10-096,Lizbeth Rubí Reyes Cortez
10-096,Margarito Carbajal Colin
10-096,Rosaura Rodríguez Rojas
10-096,Susy Antunez Collns
10-096,Verónica Salinas Zuñiga
10-096,Viridiana Santana Lazcano
10-098,Angel Castillo Covarrubias
10-098,Gabriela Martínez Hernández
10-098,Héctor Mendoza Ferreyra
10-098,Jose Juan Berrospe Jacuinde
10-098,Marta Santana Soto
10-098,Martha Laura Perez Gomez
10-098,Olga Lilia Salas X
10-098,Pedro Armando Jimenez Avendaño
10-098,Rosa Angelica Marquez Fuentes
10-102,Alejandra Xx Vazquez
10-102,Karen Mireya Enriquez Alvarez
10-104,Diego Cuevas Estadia
10-104,Diego Cuevas Estadia
10-106,Armando Morales Reyes
10-106,Blanca Estela Mendez Hernandez
10-106,Claudia Arriaga Soria
10-106,Juan Vilchis Vidal
10-106,Leticia Aguilar Najera
10-106,María Del Rosario Gámez Díaz
10-106,Maria Noemi Salazar Carreola
10-106,Mario Alberto Acosta Santana
10-106,Yolanda Quintero Uribe
10-109,Carlos Arturo Salazar Alvarado
10-109,Eulalia López Hernández
10-109,Francisco Javier Alejandre Quintanar
10-109,Ivon Rodriguez Lopez
10-109,Jessica Jazmín Escalona García
10-109,Maria Guadalupe Sanchez Morquecho
10-109,Patricia Arteaga Barrios
10-111,Maria De Los Ángeles Díaz Montesinos
10-111,Maria Dionicia Ledo Huitzil
10-112,Bryan Roberto De Cello Olmedo
10-112,Candelaria Garcia Avila
10-112,Cinthya Alondra Castro Palacios
10-112,Gerardo Molina Loza
10-112,Karely Tonaxy Antonio Perez
10-112,María Inés Gallegos García
10-113,Jazmin Vargas Nuñez
10-113,Lucia Gallegos Anicua
10-113,María Aurora Vargas Nuñez
10-118,Antonio Ventura Gonzalez
10-118,Diego Alejandro Vargas Alcaraz
10-118,Karina Mejía Luz
10-118,Ricardo Castañeda Olvera
10-118,Sergio Salazar Saavedra
10-118,Vladimir Emiliano Bello Hernández
10-120,Alejandro Hernández Rosas
10-120,Fernanda Yamile González Escalona
10-120,Jorge Sanchez Santillan
10-120,Lázaro Angeles Rojas
10-120,Luis Angel Martinez Ramirez
10-120,Ma Concepcion Chavez Colin
10-120,Rubén Lobato Angeles
10-121,Atziry Fernanda Ruiz Hernandez
10-121,Cristopher Jesus Damas Reyes
10-121,Cruz Maria Sanchez Molina
10-121,Ivon Nava Carillo
10-121,Javier Nava Castro
10-121,Luz Victoria Mendoza Ramirez
10-121,Manuel Rivera Garcia
10-121,María De Las Nieves Columba Cruz Gómez
10-121,Rosa Maria Hernandez Duran
10-122,Araceli Ramirez Lara
10-122,Elizabeth Arellano Munguia
10-122,Gerardo Fermin Brito
10-122,Gloria Guzmán Urbina
10-122,Jessica Naomi Reyes Ramirez
10-122,María Del Consuelo Guerrero Ramírez
10-122,Miguel Angel Vazquez Jimenez
10-122,Myrna Gabriela Ojeda Castilla
10-122,Veronica Chavez Ramirez
10-124,Elvira Morales Onofre
10-124,Gerardo González Felipe
10-124,Jesús Hernández Santana
10-124,Jose Cruz Salazar Tejeda
10-124,Karina Guadalupe Gutiérrez Garduño
10-124,Leopoldo Martinez Hernández
10-124,María Del Carmen Lerma Juárez
10-124,Oliva Velázquez Gutiérrez
10-124,Virginia Blancas Estrada
10-127,Alberto Recillas Garcia
10-127,Alicia Rodríguez Pompa
10-127,Catalina Contreras Romero
10-127,Gabriel Arroyo Serrano
10-127,Hector Paredes Fabian
10-127,Irving Luis Cortes Ruiz
10-127,Itzel Estela Santillán Olvera
10-127,Silvia Gil Ramos
10-127,Yoana Cruz Gachuz
10-136,Ana Lidia Diaz Rodriguez
10-136,Jesús Osornio Marin
10-136,Jose Jesus Dominguez Noguez
10-136,Julia Leticia Marin Hernandez
10-136,Marco Antonio Sánchez Sánchez
10-136,Maricruz Mendoza Jiménez
10-136,Moises Castro Vargas
10-136,Victor Fuentes Rodríguez
10-140,Eliane Padrés Rojo
10-140,Joaquín Aguerrebere Salido
10-140,Miguel Luna Y Parra Y Gómez Urquiza
10-146,Juan Carlos Silva Rodriguez
10-146,Maria Del Rosario Peña Alvarez
10-147,Carina Mancilla Piña
10-147,Jacqueline Enriquez Bolaños
10-147,Jesús Valle Salazar
10-147,Liff Cristopher Sigler Mognier
10-147,Liliana Ramirez Morales
10-148,Erika Morales Arcos
10-148,Irene Jimenez Rodriguez
10-148,Zacarias Alberto Baena Flores
10-148,Zacarias Alberto Baena Flores
10-149,Daniela Lorena Gonzalez Flores
10-149,Lazara Beatriz Mérida Barrueta
10-149,Luis Alberto Escobar Garcia
10-149,Luis Enrique Vega Gonzalez
10-149,Martin Ricardo Sanchez Rodriguez
10-149,Raquel González Jiménez
10-149,Ximena Monserrat Villagómez González
10-149,Yolanda Ponce Hernández
10-150,Felipe De Jesus Morales Meneses
10-150,Janet Delgado Benitez
10-150,María Del Rosario Benítez Velasco
10-166,Angelica Martinez Reyes
10-166,Carlos Corona Zuñiga
10-166,Gloria Zuñiga Silva
10-166,Margarita Ramos Morales
10-170,Alberto Mauricio Obregon Saenz
10-170,Alejandra Rebeca Alvarez Morphy Y Gomez Maganda
10-170,Ivan Morales Núñez
10-170,Vanessa Maria Prats Alvarado
10-171,Ángel Yáñez Mejía
10-171,Danna Méndez Sánchez
10-171,Jonathan Uriel González Castañeda
10-171,Liliana Arroyo Lopez
10-171,Marisol Lizbeth Gil Alpizar
10-171,Patricia González Sánchez
10-171,Wendy Contreras Olguin
10-172,Francisco Javier Marín Gómez
10-172,Gloria Rivas Escamilla
10-172,Heriberto Ortíz Casas
10-172,Lucia Sanchez Rodriguez
10-172,Monica María Zepeda Pichardo
10-172,Pedro Carmona González
10-172,Ricardo Julian Arriaga Maya
10-172,Rosa María Ayala Guadarrama
10-172,Tania Jaqueline Ortega Bautista
10-176,Ana Valeria Meneses Meneses
10-176,Daniela Abigail Mexicano González
10-176,Elizabeth González Lozano
10-176,Gabriela Sánchez González
10-176,María Juana Sánchez Reyes
10-176,Martha Rocio Ruíz Rodríguez
10-176,Perla Meneses Meneses
10-176,Teresa Pérez Crisostomo
10-177,Adriana Navarrete Zamora
10-177,Alfonso Rojas Cruz
10-177,Concepción González Toral
10-177,Liliana Aideé Hernández Figueroa
10-177,Marcela Martínez León
10-177,Roberto Carlos Marín Carmona
10-177,Rosa María García Carbajal
10-177,Vicente Marin Jaramillo
10-177,Víctor Hugo Pérez Pacheco
10-178,Maria Berenise Perez Pineda
10-178,María Teresa Vargas Gómez
10-178,Martha Mendoza Martínez
10-178,Victor Mancera Perez
10-179,Adela Ortega Arias
10-179,Diego Alberto Sosa Cruz
10-179,Elizabeth Montañez García
10-179,Haydee Susana Avelar Valdez
10-179,Jesica Monserrat Jardon Romero
10-179,Katia Jocelyn Baeza Ortega
10-179,Martin Ruíz Trujillo
10-179,Petra Bernal Hernández
10-179,Yolanda Pizaña Rojas
10-180,Adelaida Correa Sanchez
10-180,Leopoldo Gonzalez Delgado
10-183,Brandon Mauricio Barrera Ríos
10-183,Gloria Patricia Tepepa Hernández
10-183,Magali Guadalupe Alonso Tepepa
10-183,Teresita Vargas Martinez
10-186,Estela Linares Granados
10-186,Eva Sarahi Ramirez Soto
10-186,Francisco Everardo Tinajero Anaya
10-186,María Asunción Noguez Rico
10-196,Martha Eugenia Avila Durán
10-196,Sofia Garcia Murillo
10-198,Alberto Martinez Guzman
10-198,Erika Magaly Muñoz Gonzalez
10-198,Gilberto Lara Xx
10-198,Joel Sanchez Rosales
10-198,José Martínez Vargas
10-198,Maria De La Luz Zuñiga Barrera
10-198,María Del Rocío Martínez Hidalgo
10-198,Rosa Cortes Sotelo
10-198,Silvia Cortes Sotelo
10-208,Adan Hernandez Carmona
10-208,Beatriz Magdalena Cuevas Díaz
10-208,Irene Medina Robles
10-208,Jose Florentino Luna Rodales
10-208,Juan Cisneros Osornio
10-208,Laura Lizbett Solis Medina
10-209,Bernardina Benita De La Cruz Martínez
10-209,Enrique Plata De La Cruz
10-209,José Guadalupe Martínez Castro
10-210,Alicia López Uribe
10-210,Antonio Ramirez Medina
10-210,Ma Irene De Santiago Castillo
10-211,Alberto Pérez Granados
10-211,Jasmin Ruiz Cañongo
10-211,Magdalena Ortega Alcantara
10-211,Serafin Landeros González
10-224,Cecilia Acevedo Pérez
10-224,Elvia Velázquez Onofre
10-224,Giovanna Esperanza Alvarado Carrillo
10-224,Martin Eduardo Gonzalez Rodriguez
10-224,Miguel Angel Martínez Espinal
10-224,Reynalda Martinez Arvizu
10-224,Rodolfo Campos Cevallos
10-224,Susana Bolaños Garcia
10-224,Víctor Manuel Chávez López
10-231,Cuautecutli Zarate Mendoza
10-231,Diana Saudizaret Calderón Romero
10-231,Erick Raúl Villegas Salinas
10-231,Eunice Rojas Vargas
10-231,Leonardo Chacón Martín Del Campo
10-231,Leopoldo Martinez Gutierrez
10-231,Leticia Vázquez Gutíerrez
10-231,Luz Amparo Del Carmen Jimenez Reyonoso
10-231,Minerva Hernandez Simancas
10-232,Enrique Martín Osnaya Marcelino
10-232,Gregorio Mendieta Cuevas
10-232,Guadalupe Vega Cuevas
10-232,Karina Ivonne Pedraza Romero
10-232,Lilia Zamora Lopez
10-233,Emma Montiel Olvera
10-233,Jose Antonio Gomez Ambriz
10-233,Rosa Arminda Ambriz Torres
10-235,Carmen Delgado Zepeda
10-235,Daniela Silva Sánchez
10-235,Diana Bernal Martínez
10-235,Dora Alicia Hernandez Sobrevilla
10-235,Herminia Santos López
10-235,Julieta Sánchez Salazar
10-235,Miriam Rangel Sandoval
10-235,Rodrigo Sánchez Hernández
10-235,Rosa María Hernández Zarate
10-236,Alicia Miramar X
10-236,Andrea Figueroa Mora
10-236,Cesar Jimenez Miramar
10-236,Jazmín Reyes Sánchez
10-236,Julio César Castillo Terrones
10-236,Laura Georgina Salazar Guerrero
10-236,María Verónica Mendoza Raya
10-236,Miguel Eduardo Peña Juárez
10-236,Raúl Lorenzo Romero Sanchez
10-237,Alejandra Elizabeth Merida Rubio
10-237,Jacqueline Hernández Mérida
10-237,Juana Ramírez Ramirez
10-237,Nazaria Ramirez Xx
10-239,Janet Carla Gomez Hernandez
10-239,Jose Martinez Vera
10-239,Maria Yolanda Sanchez Perez
10-239,Miguel Cisneros Vazquez
10-239,Minerva Santana Flores
10-239,Noe López De Jesus
10-245,Gustavo Chavez Tovar
10-245,Juan Ortíz Hernández
10-245,Pilar María De Jesús Campa Palacios
10-246,Ana Silverio De La Cruz
10-246,Brandon Calderon Pavana
10-246,Erika Espinoza Gomez
10-246,Isela Virginia Jaimes Hernández
10-246,Leonel Juarez Rodriguez
10-246,Maria Guadalupe Pavana Zarate
10-246,Maricruz Orozco Diaz
10-246,Yeni López González
10-247,Alberto Galicia Torres
10-247,Alicia Velázquez Pérez
10-247,Antonina Rosario Gutíerrez Ramírez
10-247,Fermín Muñoz López
10-247,Jesica Hernández Mendoza
10-247,Luis Cruz Armenta
10-247,María Teresa Malfavon Rendon
10-247,Monica Casas Velázquez
10-247,Yadira Catalina Meza Herrera
10-248,Carlos Fuentes Garcia
10-248,Lourdes Cisneros Vargas
10-248,Patricia Lara Gillessen
10-252,Adriana Martínez Hernández
10-252,Alfredo Ramirez Tinoco
10-252,Francisco Javier Angeles Olvera
10-252,Inés Cruz Arellano
10-252,Inés Ramirez Hernández
10-252,José Ángel Coyoli Fabián
10-252,Ma Teresa Fabián Santos
10-252,Maribel Hernández Hernández
10-252,Patricia Olguin Pérez
10-253,Alí Gabriel Granados Muñoz
10-253,Christian Rivera Hernández
10-253,Clotilde Fuentes Sanchez
10-253,Erika Adriana Rodriguez Olguin
10-253,Gabriel Alba Rangel
10-253,Leticia Hernández Matias
10-253,Margarita Hermelinda Hernández Xx
10-253,María Victoría Pineda Ríos
10-253,Rosa Maria Lopez Gomez
10-254,Dalila Roman Antunez
10-254,Enrique Hernández Muñoz
10-254,Jesús Manuel Hernández Malagón
10-254,José Alberto Hernández Malagón
10-254,Juana Azucena Garduño González
10-254,María Lilia Pozos Ramírez
10-254,Mariano Hernández Malagón
10-254,Martha Patricia Velázquez González
10-254,Rosa Maria Medrano Esparza
10-255,Alicia Angeles González
10-255,Alma Edith Dolores Armendariz
10-255,César Monterrubio Fernández
10-255,Citlali Yoame Hernández Bautista
10-255,Jessica Sanchez Gomez
10-255,Veronica Olvera Pradel
10-256,Arturo Colin Navarro
10-256,Luis Gonzalez Diaz
